"title","heading","content"
"estrutura societária","e","As 41 concessões/participações de transmissão detidas pela Taesa estão segregadas em: (i) 10 concessões que compõem a empresa holding (TSN, Novatrans, ETEO, GTESA, PATESA, Munirah, NTE, STE, ATE e ATE II); (ii) 12 investidas integrais (ATE III, Brasnorte, São Gotardo, Mariana, Miracema, Janaúba, Sant’Ana, São João, São Pedro, Lagoa Nova, Ananaí e Pitiguari); e (iii) 19 participações (ETAU, AIE e TBE). A gestão operacional das concessões Transirapé, Transudeste e Transleste (em conjunto, “Transmineiras”) passou a ser realizada pelo grupo TBE. A partir do segundo trimestre de 2022, os resultados das Transmineiras serão incorporados ao resultado da TBE. Para fins de comparação, os respectivos trimestres do ano anterior também sofrerão este ajuste proforma. Há 4 empreendimentos (Sant’Ana, Ivaí, Ananaí e Pitiguari) que estão em fase não operacional. Em 27 de julho de 2022, o empreendimento de Paraguaçu obteve o termo de liberação pela ONS, o qual autoriza o recebimento de R$ 78,6 milhões de RAP para a Companhia de acordo com o ciclo RAP 2022-2023. Paraguaçu é um empreendimento referente ao lote 3, do leilão de transmissão nº 013/2015 (parte 2), realizado em outubro de 2016, em que a Taesa participa em sociedade, na proporção igualitária de 50%. A concessão possui uma RAP total de R$ 157,3 milhões para o ciclo 2022-2023 e está localizada nos estados de Minas Gerais e Bahia, com extensão de 338 km de linha com tensão de 500 kV, interligando a subestação Poções III à subestação Padre Paraíso 2. Em 30 de junho de 2022, a Taesa sagrou-se vencedora na disputa pelo lote 10 do Leilão de Transmissão ANEEL 01/2022, situado em Santa Catarina, com extensão de 92,7 km, sendo 66,7 km de circuito duplo e um investimento previsto de R$ 243,2 MM (Capex ANEEL). O novo empreendimento, chamado de Pitiguari Transmissora de Energia Elétrica S.A. (“Pitiguari”), terá um prazo regulatório de 54 meses para conclusão e acrescentará para a Companhia uma RAP de R$ 19,5 milhões a partir da sua entrada em operação. O empreendimento foi assumido formalmente pela Companhia em 30 de setembro de 2022, quando o contrato de concessão foi assinado. Em 6 de maio de 2022, o empreendimento de Aimorés entrou em operação comercial, passando a adicionar o valor de R$ 52,7 milhões de RAP para a Companhia de acordo com o ciclo RAP 2022-2023. Aimorés é um empreendimento referente ao lote 4, do leilão de transmissão nº 013/2015 (parte 2), realizado em outubro de 2016, em que a Taesa participa em sociedade, na proporção igualitária de 50%. A concessão possui uma RAP total de R$ 105,4 milhões para o ciclo 2022-2023 e está localizada no estado de Minas Gerais, com extensão de 208 km de linha com tensão de 500 kV, interligando a subestação Padre Paraíso 2 à subestação Governador Valadares 6. Em 1º de abril de 2022, o empreendimento de Sant’Ana obteve os termos de liberação para as linhas de transmissão LT Livramento 3 – Alegrete 2 (C1) e LT Livramento 3 – Cerro Chato (C1), ambas com tensão de 230 kV, e para parte da subestação SE 230 kV Livramento 3. Com isso, as instalações entraram em operação comercial com uma antecipação de quase 12 meses em relação ao prazo ANEEL, passando a adicionar para a Companhia uma RAP de mais de 23% da RAP total do empreendimento, retroativa a 28 de março de 2022. Sant’Ana é um empreendimento do lote 12, do leilão de transmissão nº 004/2018, realizado em dezembro de 2018, 100% controlada pela Taesa, e apresenta uma RAP total de R$ 77,8 milhões para o ciclo 2022-2023 e um Capex ANEEL de R$ 610 milhões. O empreendimento está localizado no Estado do Rio Grande do Sul, com extensão aproximadamente de 591 km de linhas de transmissão. Em 18 de fevereiro de 2022, o empreendimento de ESTE obteve o termo de liberação pela ONS, o qual autoriza o recebimento de receita a partir de 9 de fevereiro de 2022, passando a adicionar para a Taesa uma RAP de R$ 74,5 milhões (ciclo 2022-2023). ESTE é um empreendimento do lote 22, do leilão de transmissão nº 013/2015 (parte 2), realizado em outubro de 2016, 100% controlada pela subsidiária EATE, na qual a Taesa possui de 49,98% do capital social total. A ESTE possui uma RAP total de R$ 149,0 milhões para o ciclo 2022-2023 e está localizada entre os"
"queda de 50% da RAP","e","Os contratos de concessão de transmissão licitados entre 1999 e 2006 (Categoria II) preveem a redução de 50% da RAP (Rede Básica) a partir do 16º ano de operação comercial das instalações. Dado que os contratos de concessão possuem instalações cuja parcela de RAP associada será reduzida em 50% em datas distintas ao longo do seu ciclo, foi calculada uma RAP equivalente a ser recebida pelas concessionárias ao longo do referido ciclo, e nos ciclos futuros, considerando os valores pro-rata das parcelas de RAP sem redução, desde o início do ciclo (1º de julho) até a data de fim do 15º ano de operação comercial das instalações, e os valores pro-rata das parcelas de RAP com redução de 50%, a partir da data de início do 16º ano de operação comercial das instalações até o final do mesmo ciclo (30 de junho). Para os ciclos 2016-2017, 2017-2018, 2018-2019, 2019-2020, 2020-2021, 2021-2022 e 2022-2023, as seguintes concessões atingiram o 16º ano de operação¹: ETEO: 100% da RAP da ETEO entrou no 16º ano de operação em 19/10/2016. ECTE3 : 67,6% da RAP da ECTE entrou no 16º ano de operação em 9/3/2017 e 28,4% da RAP entrou em 26/3/2017. ETEP3 : 99,7% da RAP da ETEP entrou no 16º ano de operação em 25/8/2017. EATE3 : 19,0% da RAP da EATE entrou no 16º ano de operação em 1/2/2018, 45,6% da RAP em 20/2/2018, e 33,5% da RAP em 10/3/2018. TSN3 : 89,9% da RAP da TSN entrou no 16º ano de operação em 4/3/2018, 4,0% da RAP em 5/4/2018, 0,7% da RAP em 22/5/2018, e 1,3% da RAP em 3/6/2018. Novatrans: 16,3% da RAP da Novatrans entrou no 16º ano de operação em 3/6/2018, 19,4% da RAP em 8/12/2018, 19,1% da RAP em 23/12/2018, e 45,2% da RAP em 8/4/2019. GTESA: 100% da RAP da GTESA entrou no 16º ano de operação em 26/8/2018. NTE: 100% da RAP da NTE entrou no 16º ano de operação em 25/1/2019. STE3 : 19,0% da RAP da STE entrou no 16º ano de operação em 27/6/2019, 36,6% da RAP em 13/7/2019, e 42,1% da RAP em 18/7/2019. PATESA3 : 98,2% da RAP da PATESA entrou no 16º ano de operação em 1/9/2019. ERTE3 : 71,5% da RAP da ERTE entrou no 16º ano de operação em 15/9/2019. ENTE: 100% da RAP da ENTE entrou no 16º ano de operação em 12/2/2020. ETAU3 : 34,2% da RAP da ETAU entrou no 16º ano de operação em 17/4/2020 e 36,0% da RAP em 29/9/2020. Munirah: 100% da RAP da Munirah entrou no 16º ano de operação em 30/10/2020. ATE I: 54,0% da RAP da ATE I entrou no 16º ano de operação em 8/10/2020 e 46,0% da RAP em 27/10/2020. Transleste: 100% da RAP da Transleste entrou no 16º ano de operação em 18/12/2020. ATE II: 100% da RAP da ATE II entrou no 16º ano de operação em 11/12/2021. Transudeste: 100% da RAP da Transudeste entrou no 16º ano de operação em 23/2/2022. Transirapé3 : 45,1% da RAP da Transirapé entrou no 16º ano de operação em 23/5/2022 e 15,9% da RAP em 30/5/2022. Lumitrans3 : 99,9% da RAP da Lumitrans entrou no 16º ano de operação em 3/10/2022. STC3 : 71,9% da RAP da STC entrou no 16º ano de operação em 8/11/2022."
"Dividendos e Juros sobre Capital Próprio","e","No dia 31 de maio de 2022, a Taesa pagou o total de R$ 800,3 MM (R$ 2,32 / Unit) segregados da seguinte forma: (i) R$ 147,0 MM a título de dividendos mínimos obrigatórios remanescentes de 2021 e R$ 653,3 MM a título de dividendos adicionais referente à destinação do lucro líquido de 2021. Com isso, o montante total de proventos distribuídos sobre o resultado de 2021 foi de R$ 1.789,9 MM, registrando um payout de 80,9%. No dia 26 de agosto de 2022, a Taesa pagou o total de (i) R$ 308,8 MM (R$ 0,90 / Unit) a título de dividendos intercalares, e (ii) R$ 197,9 MM (R$ 0,57 / Unit) a título de juros sobre capital próprio (JCP), totalizando R$ 506,7 MM (R$ 1,47 / Unit), com base nas demonstrações financeiras intermediárias de 31 de março de 2022. Adicionalmente, com base nas demonstrações financeiras intermediárias de 30 de setembro de 2022, o Conselho de Administração da Companhia aprovou hoje a distribuição de (i) R$ 45,2 MM (R$ 0,13 / Unit) a título de dividendos intercalares, (ii) R$ 113,4 MM (R$ 0,33 / Unit) a título de dividendos intermediários referente a Reserva Especial de dividendos não distribuídos, e (iii) R$ 206,8 MM (R$ 0,60 / Unit) a título de juros sobre capital próprio (JCP), totalizando R$ 365,4 MM (R$ 1,06 / Unit). O pagamento ocorrerá no dia 5 de dezembro de 2022, a partir da data base de 14 de novembro de 2022."
"Impostos","e", "A redução de 90,3% do Imposto de Renda e Contribuição Social em IFRS reconhecido no resultado entre o 3T22 e 3T21 é explicada basicamente pela queda no lucro antes dos impostos e pelo pagamento de JCP neste trimestre. Estes efeitos foram compensados em parte pelo menor aproveitamento do benefício fiscal SUDAM/SUDENE e pela queda no lucro das empresas que possuem tributação em regime de lucro presumido, principalmente em Sant’Ana."
"Resultado Financeiro Líquido","e", "A despesa financeira líquida IFRS totalizou R$ 85,8 MM no 3T22, 62,8% menor que o registrado no 3T21. Já a despesa financeira líquida regulatória totalizou R$ 85,6 MM, 62,7% menor na comparação anual. Nos primeiros nove meses de 2022 a despesa financeira líquida IFRS fechou em R$ 574,5 MM, apresentando uma redução de 2,1% contra 9M21. A despesa financeira líquida regulatória alcançou R$ 576,0 MM, 1,4% menor que o mesmo período de 2021. O aumento anual de R$ 45,9 MM nas Receitas Financeiras ocorreu em função de aumento no volume de caixa aplicado, decorrente da 12ª emissão de debêntures no valor de R$ 1.250 MM e o aumento do CDI entre os períodos comparados (3,26% no 3T22 x 1,21% no 3T21). O crescimento de 50,0% na linha de juros incorridos se deve, basicamente, ao aumento do volume médio da dívida causado pelas 11ª e 12ª emissões de debêntures e pelo aumento do CDI entre os períodos, compensado em parte, pela deflação registrada entre os períodos comparados (IPCA de -1,32% no 3T22 x 3,02% no 3T21). A redução anual de R$ 172,0 MM na linha de variações monetárias e cambiais é explicada pela deflação registrada entre os períodos comparados associado ao aumento da dívida bruta indexada ao IPCA. A redução anual de R$ 11,2 MM na linha de ajuste ao valor justo é decorrente da liquidação antecipada da dívida 4.131, marcada a mercado. A linha de outras despesas financeiras apresentou um crescimento de R$ 7,6 MM na comparação anual explicado, basicamente, pelo PIS/COFINS sobre uma maior receita financeira entre os períodos comparados e o pagamento de multas. "
"Resultado de Equivalência Patrimonial IFRS","e","O Resultado de Equivalência Patrimonial IFRS no 3T22 totalizou R$ 118,2 MM, 20,4% menor que o 3T21. Já nos primeiros nove meses de 2022, a Equivalência Patrimonial IFRS fechou em R$ 554,9 MM, 12,4% menor que o mesmo período de 2021. A redução de 20,4% no resultado IFRS das investidas em conjunto e coligadas, na comparação entre o 3T22 e o 3T21, se deve principalmente a: (i) redução da receita de correção monetária em função de um menor IGP-M e IPCA, com maior impacto na TBE e em Aimorés; e (ii) menores investimentos em Ivaí, Aimorés e TBE (ESTE). Estes efeitos foram compensados em parte por (i) menores despesas financeiras em Ivaí, impactada pela deflação do IPCA acumulada no período, (ii) maiores investimentos no projeto de Paraguaçu entre os períodos comparados, e (iii) contabilização da correção monetária acumulada durante o período da construção de Paraguaçu, alocada na receita de implantação de infraestrutura do projeto assim que ele entra em operação."
"Resultado de Equivalência Patrimonial Regulatória","e", "O Resultado de Equivalência Patrimonial Regulatória no 3T22 totalizou R$ 81,2 MM, 147,5% maior que o registrado no 3T21. Nos primeiros nove meses de 2022, a Equivalência Patrimonial Regulatória fechou em R$ 144,9 MM, 38,9% maior que o registrado no 9M21. O Resultado de Equivalência Patrimonial Regulatória no 3T22 apresentou um aumento de R$ 48,4 MM na comparação anual. Este desempenho é explicado pelas (i) menores despesas financeiras na concessão de Ivaí em função da deflação do IPCA, (ii) reajuste inflacionário do ciclo da RAP 2022-2023 (10,72% em IGP-M e 11,73% em IPCA), e (iii) entrada em operação de ESTE (TBE), Aimorés e Paraguaçu. Estes efeitos foram compensados em parte pelas maiores despesas financeiras da TBE, motivado pelas novas captações no Grupo e pelas provisões de PVA devido ao atraso na entrega dos projetos de Aimorés e Paraguaçu. A diferença entre o Resultado de Equivalência Patrimonial na Taesa e a soma do resultado da ETAU, Aimorés, Paraguaçu, Ivaí, Transmineiras e TBE é devido à amortização do ágio oriundo da alocação do preço pago pela aquisição da TBE."
"Resultado Financeiro Líquido","e","A despesa financeira líquida IFRS totalizou R$ 85,8 MM no 3T22, 62,8% menor que o registrado no 3T21. Já a despesa financeira líquida regulatória totalizou R$ 85,6 MM, 62,7% menor na comparação anual. Nos primeiros nove meses de 2022 a despesa financeira líquida IFRS fechou em R$ 574,5 MM, apresentando uma redução de 2,1% contra 9M21. A despesa financeira líquida regulatória alcançou R$ 576,0 MM, 1,4% menor que o mesmo período de 2021. O aumento anual de R$ 45,9 MM nas Receitas Financeiras ocorreu em função de aumento no volume de caixa aplicado, decorrente da 12ª emissão de debêntures no valor de R$ 1.250 MM e o aumento do CDI entre os períodos comparados (3,26% no 3T22 x 1,21% no 3T21). O crescimento de 50,0% na linha de juros incorridos se deve, basicamente, ao aumento do volume médio da dívida causado pelas 11ª e 12ª emissões de debêntures e pelo aumento do CDI entre os períodos, compensado em parte, pela deflação registrada entre os períodos comparados (IPCA de -1,32% no 3T22 x 3,02% no 3T21). A redução anual de R$ 172,0 MM na linha de variações monetárias e cambiais é explicada pela deflação registrada entre os períodos comparados associado ao aumento da dívida bruta indexada ao IPCA. A redução anual de R$ 11,2 MM na linha de ajuste ao valor justo é decorrente da liquidação antecipada da dívida 4.131, marcada a mercado. A linha de outras despesas financeiras apresentou um crescimento de R$ 7,6 MM na comparação anual explicado, basicamente, pelo PIS/COFINS sobre uma maior receita financeira entre os períodos comparados e o pagamento de multas. "
"Receita Líquida Regulatória","e","Receita Líquida Regulatória no 3T22 alcançou R$ 583,9 MM, 17,4% maior que o registrado no 3T21, explicadopelo reajuste inflacionário do ciclo 2022-2023 da RAP e entrada em operação de Janaúba e parcial deSant’Ana, efeitos compensados em parte pela queda da RAP de algumas concessões.Receita Líquida Regulatória no 9M22 somou R$ 1.670,1 MM, apresentando um aumento anual de 29,8%.A Receita Líquida Regulatória não é impactada pelo reconhecimento dos efeitos inflacionários descrito na seção 4.5da Receita Líquida IFRS, visto que esse reconhecimento é uma definição contábil do IFRS sobre a correçãomonetária do ativo contratual que influencia, portanto, apenas a Receita Líquida IFRS. Por outro lado, a RAP éanualmente reajustada pela inflação a cada novo ciclo que se inicia em 1º dia de julho de cada ano e termina no 30ºdia de junho do ano subsequente (vide seção 4.2).O crescimento na linha da RAP de 15,2% entre o 3T22 e o 3T21 é explicado pelo reajuste inflacionário do ciclo daRAP 2022-2023 (10,72% em IGP-M e 11,73% em IPCA) e pela entrada em operação da concessão de Janaúba noinício de setembro de 2021 e entrada parcial de Sant’Ana em abril de 2022. O aumento foi compensado em partepela redução da RAP das concessões ATE II e ATE III (maiores detalhes sobre os efeitos e as datas de queda nasseções 4.2 e 4.3).A Parcela Variável (PV) registrou R$ 2,6 MM, apresentando, portanto, uma redução de 82,1% na comparação entreo 3T22 e o 3T21 em função basicamente das maiores provisões de eventos com parcela variável registradas no3T21 nas concessões Novatrans e ETEO.Outras receitas operacionais ficaram praticamente em linha na comparação anual."
"EBITDA e Margem EBITDA IFRS","e", "No 3T22, o EBITDA IFRS totalizou R$ 284,4 MM com margem EBITDA de 61,3%. A queda de 60,2% do EBITDA IFRS na comparação anual é explicada pela menor receita de correção monetária do ativo contratual, em função da contração do IGP-M e principalmente da deflação registrada no IPCA, e pela redução da margem de implementação de infraestrutura, seguindo os menores investimentos nos empreendimentos de Janaúba e Sant’Ana, que entraram em operação comercial. Estes efeitos foram compensados em parte pelo aumento das receitas de Operação e Manutenção e de Remuneração do Ativo Contratual, impactados positivamente pela entrada em operação de Janaúba e parcial de Sant’Ana."
"Custos, Despesas, Depreciação e Amortização IFRS","e", "Custos, Despesas e Depreciação e Amortização totalizaram R$ 185,2 MM no 3T22, 21,0% menor quando comparado ao 3T21. Custos, Despesas e Depreciação e Amortização totalizaram nos primeiros nove meses R$ 449,9 MM, 30,9% menor quando comparado ao 9M21."
"Pessoal","e", "O aumento de 19,0% na comparação entre o 3T22 e o 3T21 é explicado principalmente pelo reajuste salarial dos empregados pelo acordo coletivo de 11,73%, refletindo o reajuste da RAP do ciclo 2022-2023 dos contratos de concessão de categoria 3, baseados exclusivamente no índice de inflação IPCA, além do aumento de quadro, programa de meritocracia e a entrada em operação de Janaúba."
"Material",e, "A redução anual de 37,7% se deve, principalmente, aos menores investimentos nos empreendimentos de Janaúba (-R$ 97,9 MM) e Sant’Ana (-R$ 15,5 MM), em função da entrada em operação em setembro de 2021 e abril de 2022 (parcial), respectivamente. Estes efeitos foram compensados em parte pelos investimentos iniciais em Ananaí (+R$ 49,6 MM)."
"Serviços de terceiros","e","A redução de 1,8% na comparação anual foi influenciada basicamente por (i) alterações nos cronogramas de execução dos serviços de limpeza de faixa de servidão, que ficou concentrada no 2T22 e 3T21, (ii) redução nos gastos com serviços jurídicos, e (iii) menores despesas com limpeza e conservação predial. Esses efeitos foram compensados por maiores despesas com estudos e assessoria para participação nos leilões de transmissão e com viagens. "
"Outros","e","O aumento de R$ 1,1 MM no 3T22, se deve, principalmente, ao recebimento de indenizações referentes as aquisições de São Pedro e São João ocorrido no 3T21 e maiores despesas com seguros neste trimestre. Estes efeitos foram compensados em parte por menores indenizações cíveis, fiscais e trabalhistas"
"Depreciação e amortização","e","A redução anual de 3,9% é explicada pela depreciação do contrato de aluguel de escritório administrativo no 3T21, que foi antecipada no trimestre passado e, portanto, não gerando impacto neste trimestre."
